Date,Daily cases,Total positives,Total positives variation,Total intensive care,Total hospitalized,Total deaths,Tests,Daily intensive care,Daily hospitalized,Daily deaths,Daily tests
2020-10-28,24991,276457,21367,1536,16517,37905,15152038,125.0,1151.0,205.0,198952.0
2020-10-29,26831,299191,22734,1651,17615,38122,15353490,115.0,1098.0,217.0,201452.0
2020-10-30,31084,325786,26595,1746,18740,38321,15568575,95.0,1125.0,199.0,215085.0
2020-10-31,31758,351386,25600,1843,19809,38618,15784461,97.0,1069.0,297.0,215886.0
2020-11-01,29907,378129,26743,1939,20841,38826,15967918,96.0,1032.0,208.0,183457.0
2020-11-02,22253,396512,18383,2022,21862,39059,16103649,83.0,1021.0,233.0,135731.0
2020-11-03,28244,418142,21630,2225,23339,39412,16285936,203.0,1477.0,353.0,182287.0
2020-11-04,30550,443235,25093,2292,24408,39747,16497767,67.0,1069.0,335.0,211831.0
2020-11-05,34505,472348,29113,2391,25647,40192,16717651,99.0,1239.0,445.0,219884.0
2020-11-06,37809,499118,26770,2515,26520,40638,16951896,124.0,873.0,446.0,234245.0
2020-11-07,39811,532536,33418,2634,27743,41063,17183569,119.0,1223.0,425.0,231673.0
2020-11-08,32616,558636,26100,2749,29189,41394,17374713,115.0,1446.0,331.0,191144.0
2020-11-09,25271,573334,14698,2849,30485,41750,17522438,100.0,1296.0,356.0,147725.0
2020-11-10,35098,590110,16776,2971,31604,42330,17740196,122.0,1119.0,580.0,217758.0
2020-11-11,32961,613358,23248,3081,32525,42953,17965836,110.0,921.0,623.0,225640.0
2020-11-12,37978,635054,21696,3170,33043,43589,18200508,89.0,518.0,636.0,234672.0
2020-11-13,40902,663926,28872,3230,34144,44139,18455416,60.0,1101.0,550.0,254908.0
2020-11-14,37255,688435,24509,3306,34704,44683,18683111,76.0,560.0,544.0,227695.0
2020-11-15,33979,712490,24055,3422,35469,45229,18878386,116.0,765.0,546.0,195275.0
2020-11-16,27354,717784,5294,3492,36028,45733,19031049,70.0,559.0,504.0,152663.0
2020-11-17,32191,733810,16026,3612,36686,46464,19239507,120.0,658.0,731.0,208458.0
2020-11-18,34282,743168,9358,3670,37174,47217,19474341,58.0,488.0,753.0,234834.0
2020-11-19,36176,761671,18503,3712,37322,47870,19724527,42.0,148.0,653.0,250186.0
2020-11-20,37242,777176,15505,3748,37705,48569,19962604,36.0,383.0,699.0,238077.0
2020-11-21,34767,791746,14570,3758,37821,49261,20199829,10.0,116.0,692.0,237225.0
2020-11-22,28337,805947,14201,3801,38080,49823,20388576,43.0,259.0,562.0,188747.0
2020-11-23,22930,796849,-9098,3810,38507,50453,20537521,9.0,427.0,630.0,148945.0
2020-11-24,23232,798386,1537,3816,38393,51306,20726180,6.0,-114.0,853.0,188659.0
2020-11-25,25853,791697,-6689,3848,38161,52028,20956187,32.0,-232.0,722.0,230007.0
2020-11-26,29003,795845,4148,3846,37884,52850,21188898,-2.0,-277.0,822.0,232711.0
2020-11-27,28352,787893,-7952,3782,37466,53677,21411701,-64.0,-418.0,827.0,222803.0
2020-11-28,26323,789308,1415,3762,37061,54363,21637641,-20.0,-405.0,686.0,225940.0
2020-11-29,20648,795771,6463,3753,36632,54904,21814575,-9.0,-429.0,541.0,176934.0
2020-11-30,16377,788471,-7300,3744,36931,55576,21945099,-9.0,299.0,672.0,130524.0
2020-12-01,19350,779945,-8526,3663,36474,56361,22127199,-81.0,-457.0,785.0,182100.0
2020-12-02,20709,761230,-18715,3616,36070,57045,22334342,-47.0,-404.0,684.0,207143.0
2020-12-03,23225,759982,-1248,3597,35369,58038,22554389,-19.0,-701.0,993.0,220047.0
2020-12-04,24099,757702,-2280,3567,34767,58852,22767130,-30.0,-602.0,814.0,212741.0
2020-12-05,21052,754169,-3533,3517,33675,59514,22962114,-50.0,-1092.0,662.0,194984.0
2020-12-06,18887,755306,1137,3454,33845,60078,23125664,-63.0,170.0,564.0,163550.0
2020-12-07,13720,748819,-6487,3382,33906,60606,23236881,-72.0,61.0,528.0,111217.0
2020-12-08,14842,737525,-11294,3345,33426,61240,23386113,-37.0,-480.0,634.0,149232.0
2020-12-09,12756,710515,-27010,3320,32973,61739,23504588,-25.0,-453.0,499.0,118475.0
2020-12-10,16999,696527,-13988,3291,32379,62626,23676174,-29.0,-594.0,887.0,171586.0
2020-12-11,18727,690323,-6204,3265,31827,63387,23866590,-26.0,-552.0,761.0,190416.0
2020-12-12,19903,684848,-5475,3199,31265,64036,24063029,-66.0,-562.0,649.0,196439.0
2020-12-13,17938,686031,1183,3158,30893,64520,24215726,-41.0,-372.0,484.0,152697.0
2020-12-14,12030,675109,-10922,3095,30860,65011,24319310,-63.0,-33.0,491.0,103584.0
2020-12-15,14844,663313,-11796,3003,30345,65857,24483741,-92.0,-515.0,846.0,164431.0
2020-12-16,17572,645706,-17607,2926,29823,66537,24683230,-77.0,-522.0,680.0,199489.0
2020-12-17,18236,635343,-10363,2855,29282,67220,24635720,-71.0,-541.0,683.0,-47510.0
2020-12-18,17992,627798,-7545,2819,28588,67894,24815520,-36.0,-694.0,674.0,179800.0
2020-12-19,16308,620166,-7632,2784,28148,68447,24991705,-35.0,-440.0,553.0,176185.0
2020-12-20,15104,622760,2594,2743,27901,68799,25129125,-41.0,-247.0,352.0,137420.0
